
2024/06/18 (19:15:45) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:15:47) | ===> btop++ v.1.3.2
2024/06/18 (19:15:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:16:37) | ===> btop++ v.1.3.2
2024/06/18 (19:16:37) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:17:01) | ===> btop++ v.1.3.2
2024/06/18 (19:17:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:17:08) | ===> btop++ v.1.3.2
2024/06/18 (19:17:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:17:10) | ===> btop++ v.1.3.2
2024/06/18 (19:17:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:17:25) | ===> btop++ v.1.3.2
2024/06/18 (19:17:25) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:17:29) | ===> btop++ v.1.3.2
2024/06/18 (19:17:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:17:56) | ===> btop++ v.1.3.2
2024/06/18 (19:17:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (19:18:03) | ===> btop++ v.1.3.2
2024/06/18 (19:18:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (21:22:18) | ===> btop++ v.1.3.2
2024/06/18 (21:22:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/18 (21:30:22) | ===> btop++ v.1.3.2
2024/06/18 (21:30:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/19 (11:01:07) | ===> btop++ v.1.3.2
2024/06/19 (11:01:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/20 (12:53:21) | ===> btop++ v.1.3.2
2024/06/20 (12:53:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/20 (13:53:47) | ===> btop++ v.1.3.2
2024/06/20 (13:53:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/20 (15:39:34) | ===> btop++ v.1.3.2
2024/06/20 (15:39:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/20 (17:47:33) | ===> btop++ v.1.3.2
2024/06/20 (17:47:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/20 (18:01:30) | ===> btop++ v.1.3.2
2024/06/20 (18:01:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/20 (20:22:12) | ===> btop++ v.1.3.2
2024/06/20 (20:22:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/20 (20:26:46) | ===> btop++ v.1.3.2
2024/06/20 (20:26:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/20 (20:43:50) | ===> btop++ v.1.3.2
2024/06/20 (20:43:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/20 (21:03:28) | ===> btop++ v.1.3.2
2024/06/20 (21:03:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/20 (21:18:16) | ===> btop++ v.1.3.2
2024/06/20 (21:18:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/20 (21:18:31) | ===> btop++ v.1.3.2
2024/06/20 (21:18:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/21 (01:47:34) | ===> btop++ v.1.3.2
2024/06/21 (01:47:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/21 (12:22:39) | ===> btop++ v.1.3.2
2024/06/21 (12:22:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/22 (17:36:31) | ===> btop++ v.1.3.2
2024/06/22 (17:36:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/23 (13:55:15) | ===> btop++ v.1.3.2
